Time,Fuse_MCCB,MCCB,Fuse,HCB,SSCB
4.038329911019849,1.1834834423574137e-7,4.571374306205911e-6,1.7849890481258512e-6,9.024918173894392e-7,1.1788188458705662e-7
4.1067761806981515,1.2104117397271352e-7,4.660587799132365e-6,1.8400761938597299e-6,9.143235268904704e-7,1.2057128517817262e-7
4.175222450376454,1.2378902336518394e-7,4.752291955512078e-6,1.8967625853294479e-6,9.264481338755459e-7,1.2331561138889668e-7
4.243668720054757,1.2659208015186607e-7,4.846509124245557e-6,1.955063822167702e-6,9.388676266430807e-7,1.2611505040283078e-7
4.312114989733059,1.2945051997004242e-7,4.943261068479643e-6,2.0149950593628674e-6,9.515839480833677e-7,1.2896977730214587e-7
4.380561259411362,1.3236451090747892e-7,5.042568955504478e-6,2.07657099915437e-6,9.645989980100467e-7,1.3187995895336257e-7
4.4490075290896645,1.353342040655292e-7,5.144453331329402e-6,2.1398058671628917e-6,9.779146256105875e-7,1.3484574634681223e-7
4.517453798767967,1.383597437731865e-7,5.248934114021608e-6,2.204713408060499e-6,9.915326374398958e-7,1.3786728247922042e-7
4.58590006844627,1.4144126048165617e-7,5.356030571390669e-6,2.27130686458743e-6,1.0054547917581758e-6,1.4094469769077023e-7
4.654346338124572,1.4457887254071267e-7,5.465761304113137e-6,2.3395989622310154e-6,1.0196827979758183e-6,1.4407810933203535e-7
4.722792607802875,1.4777268808607857e-7,5.578144231188631e-6,2.4096018982344702e-6,1.034218319428959e-6,1.4726762487260459e-7
4.791238877481177,1.5102280137568869e-7,5.693196568623549e-6,2.48132732061368e-6,1.0490629693826747e-6,1.505133379042789e-7
4.85968514715948,1.5432929545422525e-7,5.8109348129997684e-6,2.5547863153896344e-6,1.0642183125852966e-6,1.5381533113867363e-7
4.9281314168377826,1.5769224381845248e-7,5.931374725043348e-6,2.629989391933485e-6,1.0796858663786324e-6,1.5717367718437458e-7
4.996577686516085,1.6111170275667774e-7,6.054531303645305e-6,2.706946458985726e-6,1.0954670935925392e-6,1.605884321076445e-7
5.065023956194388,1.6458772122973642e-7,6.180418774981433e-6,2.7856668169956578e-6,1.1115634100944405e-6,1.6405964342602886e-7
5.133470225872689,1.6812033343249766e-7,6.309050567310237e-6,2.8661591351397675e-6,1.127976179460255e-6,1.675873456674637e-7
5.201916495550992,1.717095630127119e-7,6.440439294208566e-6,2.948431436555765e-6,1.14470671408462e-6,1.7117156148049872e-7
5.270362765229295,1.7535542029545326e-7,6.574596731923066e-6,3.0324910792467463e-6,1.1617562731824904e-6,1.7481230063509656e-7
5.338809034907597,1.7905790283823109e-7,6.711533799719227e-6,3.118344738872736e-6,1.1791260626781153e-6,1.7850956035569965e-7
5.4072553045859,1.828169977624583e-7,6.85126054111862e-6,3.205998392319387e-6,1.1968172366483287e-6,1.8226332698656478e-7
5.475701574264202,1.866326782007377e-7,6.993786100473187e-6,3.295457297269877e-6,1.2148308936588137e-6,1.8607357354927245e-7
5.544147843942505,1.9050490618344185e-7,7.1391187033142955e-6,3.3867259759956525e-6,1.2331680782073917e-6,1.899402611860168e-7
5.6125941136208075,1.944336309733785e-7,7.287265634925433e-6,3.4798081960385474e-6,1.2518297795027777e-6,1.9386333904858333e-7
5.68104038329911,1.9841878795556767e-7,7.438233216250367e-6,3.5747069500047246e-6,1.2708169285780002e-6,1.9784274185585815e-7
5.749486652977413,2.0246030341120047e-7,7.592026788794115e-6,3.671424442019955e-6,1.2901304038415162e-6,2.0187839544494324e-7
5.817932922655715,2.0655808863345726e-7,7.748650685757141e-6,3.769962063082666e-6,1.3097710227505388e-6,2.0597021088697431e-7
5.886379192334018,2.10712043036132e-7,7.908108212939524e-6,3.870320375631842e-6,1.3297395456968175e-6,2.1011808681858923e-7
5.95482546201232,2.1492205604101144e-7,8.070401631088409e-6,3.972499097115723e-6,1.3500366771168615e-6,2.1432191266157474e-7
6.023271731690623,2.1918800008347006e-7,8.235532124034606e-6,4.076497072902363e-6,1.370663056943222e-6,2.185815605182384e-7
6.091718001368926,2.2350974038243265e-7,8.403499788367519e-6,4.182312267952959e-6,1.3916192702634334e-6,2.2289689505239352e-7
6.160164271047228,2.278871271688132e-7,8.574303603015032e-6,4.2899417407316065e-6,1.4129058385492499e-6,2.2726776627290945e-7
6.228610540725531,2.3231999879413934e-7,8.747941410036653e-6,4.3993816267740016e-6,1.4345232228762939e-6,2.3169401208722462e-7
6.2970568104038325,2.3680818106441848e-7,8.924409892974161e-6,4.510627119924671e-6,1.4564718211484973e-6,2.3617545830134645e-7
6.365503080082135,2.4135148923853933e-7,9.103704556534531e-6,4.623672455683625e-6,1.4787519708736596e-6,2.4071191973007444e-7
6.433949349760438,2.459497245865805e-7,9.285819700832754e-6,4.738510888335767e-6,1.5013639435013104e-6,2.4530319731042027e-7
6.50239561943874,2.506026772763903e-7,9.470748403406226e-6,4.855134677073103e-6,1.5243079480864452e-6,2.499490809881877e-7
6.570841889117043,2.5531012537438613e-7,9.658482496677223e-6,4.97353506623277e-6,1.5475841282919234e-6,2.5464934905183867e-7
6.639288158795345,2.600718349565767e-7,9.84901254641457e-6,5.09370226642325e-6,1.5711925623884682e-6,2.594037668002258e-7
6.707734428473648,2.648875612187851e-7,1.0042327832304743e-5,5.215625439425331e-6,1.5951332632546666e-6,2.642120896512168e-7
6.776180698151951,2.697570431475782e-7,1.0238416321528554e-5,5.3392926749884495e-6,1.619406172936877e-6,2.690740563693339e-7
6.844626967830253,2.7468001473351933e-7,1.0437264659435286e-5,5.464690984169351e-6,1.6440111721971462e-6,2.7398940083411816e-7
6.913073237508556,2.796561922036034e-7,1.0638858137124174e-5,5.59180627079936e-6,1.6689480678566682e-6,2.7895783905051985e-7
6.981519507186858,2.8468528567859863e-7,1.0843180682673648e-5,5.720623325378149e-6,1.694216603009835e-6,2.8397908125032956e-7
7.049965776865161,2.897669887369503e-7,1.1050214832164507e-5,5.851125800093726e-6,1.719816446033029e-6,2.890528209009702e-7
7.1184120465434635,2.9490098718554236e-7,1.1259941718244626e-5,5.983296200162691e-6,1.7457471985782291e-6,2.9417874369830344e-7
7.186858316221766,3.000869527314265e-7,1.1472341047147339e-5,6.11711586417929e-6,1.7720083892447391e-6,2.9935652168244786e-7
7.255304585900069,3.0532454653453556e-7,1.1687391082149112e-5,6.252564950792738e-6,1.7985994742453215e-6,3.0458581545822483e-7
7.323750855578371,3.1061342131710745e-7,1.1905068630357896e-5,6.389622428604191e-6,1.8255198414030005e-6,3.0986627819196144e-7
7.392197125256674,3.1595321492439155e-7,1.2125349017955145e-5,6.528266054961485e-6,1.8527688013803e-6,3.1519754772890707e-7
7.4606433949349755,3.213435555426969e-7,1.234820607987075e-5,6.66847236807655e-6,1.8803455920091139e-6,3.2057925247741537e-7
7.529089664613278,3.2678406236552604e-7,1.2573612145017066e-5,6.8102166755901195e-6,1.908249378623772e-6,3.260110114089443e-7
7.597535934291581,3.3227434104166065e-7,1.280153801663797e-5,6.953473038140423e-6,1.936479249620149e-6,3.314924306163647e-7
7.665982203969883,3.3781398844912047e-7,1.3031952963538096e-5,7.09821426359003e-6,1.965034218565087e-6,3.3702310731076324e-7
7.734428473648186,3.434025899196058e-7,1.3264824702874378e-5,7.244411891926816e-6,1.993913221864929e-6,3.4260262637975103e-7
7.8028747433264884,3.490397227912112e-7,1.3500119393161647e-5,7.392036192821472e-6,2.0231151217631194e-6,3.482305661606233e-7
7.871321013004791,3.5472495041322105e-7,1.373780161506577e-5,7.541056146975755e-6,2.052638698679665e-6,3.539064896695976e-7
